COMUNA,REGION,URBANIDAD,FPAGO,TIPOBENEFICIO,COBROMARZO,SEXO,ECIVIL,NACIONALIDAD,NOCOBRO
304,10,2,1,17,0,2,5,0,1
330,14,2,3,16,1,1,1,0,1
320,2,2,3,16,0,1,1,0,0
63,5,2,1,1,0,2,1,0,1
300,11,2,3,16,0,2,5,0,0
63,5,2,1,1,1,1,1,0,1
336,11,2,3,16,0,1,5,0,1
300,11,2,3,14,0,1,5,0,0
27,7,2,3,14,0,2,5,0,1
78,11,2,1,16,0,1,1,0,0
11,1,2,3,14,0,1,5,0,0
290,4,2,3,16,0,1,1,0,1
58,4,2,3,16,1,1,1,0,1
300,11,2,3,16,0,2,1,0,1
16,0,2,3,16,0,1,5,0,0
120,11,2,1,16,0,1,1,0,1
26,14,1,1,17,1,2,1,0,1
307,6,2,3,16,0,1,5,0,1
271,11,2,3,16,0,1,1,0,0
321,14,2,3,16,0,2,1,0,0
220,11,2,3,16,0,2,1,0,1
58,4,2,3,16,0,1,1,0,0
128,11,2,1,17,0,2,1,0,0
300,11,2,3,16,0,2,1,0,1
180,7,2,1,16,0,1,1,0,0
81,14,1,3,14,0,1,1,0,0
336,11,2,3,16,0,1,1,0,1
105,5,1,3,16,0,1,1,0,1
59,11,2,1,16,0,1,1,0,0
307,6,2,3,14,0,2,1,0,1
118,14,1,3,16,1,1,5,0,1
59,11,2,1,16,0,1,1,0,0
249,11,2,3,16,0,2,1,0,0
327,14,2,3,14,0,1,1,0,0
181,5,2,3,16,0,2,1,0,0
249,11,2,3,16,0,2,5,0,1
166,11,2,3,14,0,1,1,0,1
106,11,2,3,16,0,1,1,0,1
138,11,2,3,14,1,2,5,0,0
194,11,2,3,16,0,1,1,0,0
115,11,2,3,16,0,2,1,0,1
249,11,2,3,16,0,1,1,0,0
276,14,2,1,16,0,1,5,0,1
327,14,2,3,16,0,1,1,0,0
271,11,2,1,16,0,1,1,0,0
11,1,2,1,16,0,1,1,0,0
147,4,2,3,16,0,1,5,0,0
128,11,2,3,14,0,1,1,0,0
11,1,2,3,16,0,1,5,0,1
327,14,2,3,16,1,1,5,0,0
300,11,2,3,16,0,1,5,0,0
300,11,2,3,16,0,1,1,0,0
78,11,2,3,14,0,1,5,0,0
336,11,2,3,16,0,1,1,0,1
252,12,2,3,14,0,1,5,0,0
307,6,2,3,16,0,1,1,0,0
106,11,2,3,16,0,1,1,0,0
106,11,2,3,16,1,1,1,0,0
336,11,2,1,16,1,2,1,0,1
100,4,2,3,14,0,2,1,0,0
328,6,2,4,14,0,2,1,0,1
313,0,1,5,16,0,1,1,0,0
58,4,2,3,16,0,1,1,0,1
58,4,2,3,16,0,1,1,0,0
68,6,1,1,16,1,2,1,0,0
128,11,2,1,16,0,1,5,0,0
300,11,2,3,16,0,2,3,0,0
133,14,2,3,16,0,2,1,0,1
128,11,2,3,16,0,1,5,0,1
121,5,2,3,16,1,1,5,0,0
285,11,2,3,16,1,1,5,0,1
304,10,2,3,16,0,1,1,0,0
128,11,2,1,16,1,2,1,0,0
300,11,2,3,16,0,1,5,0,1
336,11,2,1,16,1,1,3,0,0
271,11,2,3,16,0,1,1,0,1
329,11,2,1,16,0,1,1,0,0
180,7,2,1,17,1,1,1,0,1
244,15,1,3,14,0,1,1,0,0
336,11,2,3,16,0,1,1,0,0
157,11,2,3,16,0,2,1,0,0
220,11,2,3,16,0,2,1,0,1
304,10,2,1,17,0,2,1,0,1
5,7,1,3,16,0,1,1,0,0
327,14,2,3,16,0,1,1,0,0
336,11,2,1,16,0,2,1,0,0
245,14,2,3,16,0,1,5,0,0
11,1,2,3,16,0,1,5,0,0
216,11,2,3,16,0,1,5,0,0
327,14,2,3,14,0,2,1,0,0
336,11,2,3,14,1,1,1,0,1
186,11,2,1,16,1,2,1,0,1
330,14,2,3,7,0,1,5,0,0
257,11,2,3,16,0,1,1,0,1
128,11,2,3,7,1,1,1,0,0
300,11,2,1,16,0,1,1,0,0
330,14,2,3,16,0,2,5,0,0
115,11,2,1,16,0,1,5,0,0
330,14,2,3,16,0,2,1,0,1
315,4,2,3,16,0,2,1,0,1
120,11,2,1,16,0,1,5,0,0
333,15,1,5,16,0,1,1,0,0
59,11,2,3,16,0,1,5,0,1
281,11,2,3,14,0,1,5,0,0
74,10,2,3,16,0,1,1,0,0
121,5,2,3,16,0,2,1,0,0
324,5,1,1,17,1,2,1,0,1
85,11,2,3,16,0,2,1,0,0
277,12,2,1,16,0,2,1,0,0
285,11,2,3,16,0,1,1,0,0
128,11,2,3,16,0,1,1,0,1
300,11,2,1,16,0,2,1,0,1
121,5,2,3,16,0,1,5,0,1
321,14,2,3,16,0,1,1,0,1
278,12,1,1,17,0,2,5,0,1
74,10,2,3,16,0,1,5,0,0
246,14,2,3,16,0,1,1,0,0
155,11,2,3,16,0,1,1,0,1
10,4,1,3,16,1,1,1,0,0
107,13,2,3,14,0,1,5,0,1
249,11,2,1,16,0,2,1,0,0
330,14,2,3,16,0,1,5,0,0
169,4,1,1,17,1,2,1,0,1
319,8,2,3,14,0,1,1,0,1
10,4,1,3,16,0,2,1,0,1
220,11,2,1,16,0,2,1,0,0
271,11,2,3,16,0,1,5,0,0
216,11,2,3,16,0,1,1,0,1
330,14,2,3,16,0,1,5,0,0
128,11,2,1,16,0,2,5,0,1
26,14,1,1,17,0,2,1,0,1
304,10,2,3,16,0,1,5,0,0
128,11,2,1,16,0,1,1,0,0
106,11,2,3,16,0,1,5,0,0
285,11,2,3,16,0,2,1,0,0
285,11,2,3,16,0,1,1,0,0
285,11,2,3,16,0,2,1,0,0
303,11,2,3,16,0,2,1,0,0
242,11,2,5,9,0,1,1,0,1
213,15,0,1,16,0,2,1,0,1
330,14,2,3,16,0,1,1,0,0
37,4,2,3,16,1,1,1,0,1
245,14,2,3,16,1,1,1,0,1
252,12,2,3,16,0,1,1,0,0
27,7,2,4,14,0,2,1,0,1
7,6,2,3,16,0,1,5,0,1
180,7,2,3,14,0,2,1,0,0
32,11,2,3,14,0,2,1,0,0
224,9,1,5,16,0,2,5,0,0
249,11,2,1,16,0,2,1,0,0
85,11,2,1,16,0,1,1,0,0
128,11,2,1,16,1,1,1,0,0
223,7,2,3,16,0,1,1,0,0
329,11,2,1,16,0,2,5,0,1
85,11,2,1,16,0,2,1,0,0
319,8,2,3,16,0,1,1,0,0
300,11,2,3,16,0,1,1,0,0
336,11,2,1,16,0,2,1,0,0
39,15,2,1,16,0,1,5,0,0
16,0,2,3,16,0,2,1,0,0
252,12,2,1,17,1,1,1,0,0
300,11,2,3,14,0,2,5,0,0
336,11,2,3,16,0,1,1,0,0
285,11,2,1,16,0,1,1,0,0
216,11,2,3,16,1,2,1,0,0
104,11,2,1,16,0,1,5,0,1
336,11,2,3,16,0,1,1,0,0
116,11,2,1,16,0,2,5,0,0
12,11,2,3,16,0,1,1,0,0
71,4,1,3,14,0,2,1,0,0
95,6,1,5,14,0,2,1,0,0
169,4,1,3,16,0,2,5,0,0
283,11,1,5,14,1,1,5,0,0
246,14,2,3,14,0,1,1,0,0
11,1,2,3,16,0,1,5,0,0
271,11,2,3,16,1,1,1,0,0
121,5,2,1,16,0,2,1,0,0
236,7,0,5,16,0,2,5,0,0
106,11,2,3,16,0,1,5,0,0
271,11,2,3,16,0,2,1,0,0
74,10,2,3,16,0,2,1,0,0
330,14,2,1,17,1,1,1,0,1
336,11,2,1,16,0,2,1,0,0
74,10,2,4,14,0,2,5,0,1
300,11,2,3,16,0,1,5,0,0
39,15,2,3,16,0,1,5,0,0
12,11,2,3,14,0,1,1,0,1
300,11,2,3,16,0,1,1,0,1
281,11,2,1,16,1,1,5,0,1
321,14,2,3,16,0,1,1,0,1
180,7,2,3,16,0,1,5,0,1
152,4,2,3,16,0,1,1,0,0
170,4,1,3,16,0,2,1,0,0
297,12,1,3,16,0,2,1,0,0
300,11,2,3,16,0,1,1,0,0
336,11,2,3,16,0,1,1,0,1
166,11,2,3,14,0,2,1,0,1
85,11,2,3,16,0,1,1,0,0
220,11,2,3,16,0,1,5,0,0
300,11,2,3,14,0,1,5,0,0
271,11,2,3,14,0,1,3,0,0
134,10,2,1,17,1,1,1,0,1
300,11,2,3,16,0,1,5,0,0
285,11,2,3,16,0,1,1,0,0
106,11,2,3,16,0,1,1,0,0
307,6,2,1,16,0,1,5,0,0
329,11,2,1,16,0,1,1,0,0
157,11,2,3,16,0,1,1,0,1
39,15,2,3,16,0,1,1,0,1
216,11,2,1,16,0,1,1,0,0
319,8,2,1,16,0,1,1,0,0
128,11,2,1,16,0,1,1,0,1
285,11,2,3,16,0,1,1,0,0
115,11,2,3,14,0,2,5,0,0
336,11,2,3,16,1,1,1,0,0
128,11,2,1,17,0,2,1,0,1
157,11,2,3,14,0,1,5,0,0
307,6,2,3,14,0,2,5,0,1
58,4,2,1,16,0,1,5,0,0
4,13,2,3,7,1,1,5,0,1
249,11,2,3,16,0,2,5,0,0
336,11,2,3,16,0,1,1,0,0
319,8,2,3,14,0,1,1,0,0
74,10,2,3,16,1,1,1,0,0
300,11,2,3,16,0,1,1,0,0
111,14,2,3,16,0,1,1,0,0
155,11,2,3,14,1,1,1,0,0
300,11,2,3,14,0,2,1,0,0
230,9,2,3,16,0,2,1,0,1
220,11,2,1,16,0,1,1,0,0
146,14,2,3,16,0,1,1,0,0
300,11,2,3,16,0,1,5,0,0
271,11,2,3,16,0,1,1,0,0
111,14,2,3,16,0,2,1,0,0
300,11,2,3,16,0,1,5,0,0
285,11,2,3,16,0,2,1,0,0
330,14,2,3,14,0,2,1,0,1
74,10,2,3,16,1,1,5,0,0
304,10,2,1,16,0,2,1,0,0
139,11,2,3,14,0,1,3,0,0
330,14,2,3,16,0,1,1,0,1
11,1,2,3,14,0,2,5,0,0
0,14,1,5,16,0,1,1,0,0
297,12,1,3,16,1,1,5,0,0
257,11,2,1,16,0,1,1,0,0
300,11,2,3,16,1,1,1,0,0
106,11,2,3,16,0,1,5,0,0
216,11,2,3,14,0,1,1,0,0
216,11,2,3,16,0,1,5,0,1
150,6,0,3,13,1,2,1,0,1
112,11,2,3,14,0,1,1,0,0
155,11,2,1,16,0,1,1,0,0
223,7,2,3,16,0,1,1,0,0
8,0,2,3,14,0,1,1,0,0
285,11,2,3,16,0,1,1,0,1
316,6,1,1,17,0,1,5,0,1
252,12,2,3,14,1,1,5,0,0
121,5,2,1,16,0,1,1,0,0
336,11,2,1,16,0,1,1,0,0
285,11,2,3,16,0,1,1,0,0
128,11,2,3,16,0,1,1,0,0
270,14,2,3,16,0,1,1,0,1
128,11,2,1,16,0,2,1,0,0
336,11,2,1,16,0,1,5,0,0
270,14,2,3,16,1,1,1,0,1
106,11,2,3,16,0,1,1,0,1
133,14,2,3,16,1,1,1,0,1
115,11,2,3,16,0,1,1,0,0
121,5,2,3,16,0,1,1,0,1
16,0,2,3,16,0,1,1,0,0
252,12,2,3,16,0,1,5,0,0
58,4,2,3,16,0,1,1,0,0
307,6,2,3,14,0,1,5,0,1
219,11,2,1,16,0,1,5,0,0
304,10,2,3,16,0,1,1,0,0
12,11,2,3,16,0,2,1,0,0
116,11,2,3,16,0,2,1,0,1
304,10,2,3,16,0,1,1,0,0
58,4,2,3,16,1,1,1,0,1
134,10,2,1,17,1,2,1,0,1
330,14,2,3,14,0,2,5,0,0
107,13,2,3,14,0,1,5,0,1
330,14,2,3,14,0,1,5,0,0
128,11,2,3,14,0,1,1,0,1
285,11,2,3,16,1,1,1,0,0
285,11,2,3,16,0,1,1,0,0
59,11,2,3,16,0,1,1,0,1
32,11,2,3,14,1,2,1,0,0
300,11,2,3,16,0,1,1,0,0
216,11,2,3,14,0,2,1,0,0
300,11,2,3,16,0,1,5,0,0
155,11,2,3,14,1,1,1,0,0
205,11,2,3,16,0,1,1,0,1
290,4,2,3,7,0,1,1,0,0
300,11,2,1,16,1,2,5,0,0
78,11,2,3,16,0,1,1,0,0
85,11,2,1,16,0,1,1,0,0
245,14,2,3,14,0,2,1,0,1
62,2,2,3,16,0,1,5,0,0
258,12,2,3,16,0,1,1,0,0
8,0,2,3,14,0,1,5,0,1
62,2,2,3,14,0,1,5,0,0
157,11,2,3,16,0,1,1,0,1
152,4,2,3,16,0,1,1,0,0
30,4,1,3,14,0,1,5,0,0
216,11,2,1,16,1,1,5,0,0
285,11,2,3,16,0,2,1,0,0
128,11,2,3,16,1,2,1,0,0
285,11,2,3,14,1,1,1,0,0
220,11,2,3,16,0,1,1,0,0
115,11,2,3,16,1,1,1,0,0
216,11,2,3,16,0,1,5,0,1
329,11,2,1,16,1,1,1,0,1
336,11,2,3,16,0,1,1,1,0
300,11,2,3,16,0,1,1,0,0
155,11,2,3,16,0,2,1,0,0
166,11,2,3,16,0,1,1,0,0
336,11,2,1,16,0,2,5,0,0
249,11,2,3,16,0,1,5,0,1
157,11,2,3,16,0,2,1,0,0
216,11,2,3,16,0,1,1,0,0
304,10,2,3,16,0,1,1,0,0
211,6,1,3,16,0,1,5,0,0
246,14,2,1,16,1,1,1,0,0
180,7,2,3,14,0,2,5,0,1
303,11,2,3,16,0,2,1,0,0
266,7,0,5,14,0,2,1,0,0
246,14,2,1,16,0,1,1,0,0
216,11,2,3,16,0,1,5,0,0
128,11,2,3,16,0,1,5,0,1
115,11,2,3,16,0,1,1,0,0
336,11,2,3,16,0,1,1,0,0
300,11,2,3,14,0,1,5,0,0
249,11,2,1,16,0,2,1,0,0
120,11,2,3,14,1,2,5,0,0
106,11,2,3,16,0,1,1,0,0
245,14,2,1,16,0,2,1,0,0
142,6,1,1,17,0,2,1,0,1
112,11,2,1,16,0,2,5,0,0
58,4,2,3,16,1,1,5,0,0
271,11,2,3,14,0,2,1,0,0
134,10,2,3,16,1,2,1,0,0
115,11,2,1,16,0,2,1,0,0
307,6,2,3,16,0,2,1,0,0
112,11,2,3,14,0,2,1,0,0
285,11,2,1,16,0,2,5,0,0
285,11,2,3,16,0,2,1,0,0
149,7,1,3,14,0,1,1,0,0
118,14,1,3,16,0,1,5,0,1
87,6,1,3,16,0,1,1,0,0
142,6,1,3,16,0,1,5,0,1
272,15,2,3,7,0,1,1,0,1
121,5,2,3,16,0,1,5,0,0
62,2,2,3,16,0,2,1,0,0
249,11,2,3,16,0,2,1,0,0
230,9,2,3,14,0,2,1,0,1
128,11,2,3,14,1,2,1,0,0
115,11,2,3,16,0,2,1,0,0
300,11,2,3,16,0,1,1,0,0
336,11,2,3,16,0,1,1,0,0
285,11,2,3,16,0,1,1,0,1
74,10,2,3,16,0,1,5,0,0
220,11,2,3,16,0,1,1,0,1
220,11,2,3,16,0,1,5,0,0
333,15,1,5,16,0,1,1,0,0
285,11,2,3,16,0,2,1,0,1
249,11,2,3,16,0,1,1,0,0
336,11,2,3,16,0,1,1,0,0
336,11,2,3,14,0,2,5,0,1
336,11,2,3,16,1,1,1,0,0
285,11,2,3,14,0,1,1,0,0
128,11,2,3,16,0,1,1,0,0
300,11,2,3,16,0,2,1,0,0
146,14,2,3,16,0,1,1,0,0
66,3,2,3,14,0,1,5,0,0
330,14,2,1,16,0,1,1,0,0
300,11,2,3,16,0,1,1,0,0
120,11,2,3,14,0,1,5,0,0
270,14,2,1,16,0,1,5,0,0
220,11,2,1,16,0,2,1,0,0
11,1,2,3,14,0,2,5,0,1
321,14,2,3,16,0,1,1,0,1
115,11,2,1,16,0,1,1,0,0
271,11,2,3,16,0,2,3,0,1
106,11,2,3,14,1,1,5,0,0
330,14,2,1,16,0,1,5,0,1
300,11,2,3,16,0,1,3,0,0
285,11,2,3,16,0,1,1,0,1
271,11,2,3,16,0,1,1,0,1
336,11,2,1,16,0,1,1,0,0
220,11,2,1,16,0,2,1,0,0
285,11,2,3,16,0,1,1,0,1
128,11,2,3,16,0,1,1,0,0
300,11,2,3,14,1,1,5,0,0
300,11,2,3,16,0,2,1,0,0
252,12,2,3,16,0,2,1,0,0
292,11,2,1,16,0,1,1,0,0
100,4,2,3,16,0,2,1,0,0
193,10,1,3,16,0,2,3,0,0
106,11,2,3,16,0,1,1,0,0
146,14,2,3,14,0,1,1,0,1
252,12,2,3,7,1,1,1,0,0
181,5,2,1,17,1,1,1,0,1
30,4,1,3,16,0,2,1,0,0
280,10,2,3,16,0,1,1,0,0
74,10,2,3,16,0,2,1,0,0
116,11,2,3,14,0,1,1,0,0
